feature,target
Hi,Hello
Xin chào,Chào
Chào em yêu,Chào anh yêu
Chào đồng bào,Chào đồng chí
Chào bạn, Chào bạn mình có thể giúp gì bạn nào
Tôi không hiểu,Tôi không hiểu
Tên bạn là gì,Tôi tên là Sỹ
Bạn mấy tuổi,Tôi 19 tuổi
EM bao nhiêu tuổi,Tôi 19 tuổi
Năm nay em mấy tuổi,Tôi 19 tuổi
Tuổi năm nay của em là bao nhiêu,Tôi 19 tuổi
Có người yêu chưa,Chưa
Bạn có người tình chưa,Chưa
Người yêu bạn đã có chưa,Chưa
Bạn sinh năm bao nhiêu,Tôi sinh năm 2000
Năm sinh của bạn là mấy nhể,Tôi sinh năm 2000
Học phí của trưởng bao nhiêu năm 2017,Học phí khoảng 20 triệu một năm
Học phí năm nay là bao nhiêu,Học phí khoảng 30 triệu một năm
Điểm chuẩn năm 2016 là bao nhiêu, Từ 15-20
Trường là đại học chính quy phải không,Đúng rồi
Điểm chuẩn chửa trường bao nhiêu ạ,Khoảng 15 đến 22 á em
Năm nay điểm chuẩn bao nhiêu ạ,Khoảng 15 đến 22 á em
Học phí năm nay bao nhiêu ạ,Học phí khoảng 20 triệu một năm
Tiền nộp học một năm bao nhiêu ạ,Học phí khoảng 20 triệu một năm
Một năm đóng bao nhiêu tiền học phí,Học phí khoảng 20 triệu một năm
Học phí một học kỳ bao nhiệu ạ,Học phí khoảng 20 triệu một năm
Có thích chọc chó không,thích thế đéo nào được
Yêu chó không, Có chứ
Thông báo tời lớp 18it5 rằng hôm nay, thong_báo
gửi thông báo tới toàn thể giáo viên,thông_báo_gv
